Target_Freq_Hz,Beep_Index,Duration_s,Event_Avg_ms,Mic0_vs_Mic1_ms,Mic0_vs_Mic2_ms,Mic0_vs_Mic3_ms,Mic1_vs_Mic2_ms,Mic1_vs_Mic3_ms,Mic2_vs_Mic3_ms
300,1,1.0353,0.3611,-3.7500,-3.8333,-0.3542,3.2292,3.3958,3.4792
300,2,0.9460,-0.2083,-3.8125,-3.8750,-3.7292,3.2708,3.4167,3.4792
300,3,1.0096,-0.2049,-3.8125,-3.8750,-3.7083,3.2500,3.4167,3.5000
300,4,0.9866,-0.2014,-3.7917,-3.8750,-3.7083,3.2500,3.4167,3.5000
300,5,0.9686,-0.2014,-3.7917,-3.8750,-3.7083,3.2500,3.4167,3.5000
1000,1,0.8537,-0.0486,-0.0417,-1.2083,0.9583,-1.1667,0.0000,1.1667
1000,2,0.9128,-0.0590,-0.0208,-0.1875,-0.0625,-0.1667,-0.0417,0.1250
1000,3,0.8888,-0.0625,-0.0208,-0.1875,-0.0625,-0.1667,-0.0625,0.1250
1000,4,0.8251,-0.0625,0.0000,-0.1875,-0.0625,-0.1667,-0.0625,0.1042
1000,5,0.8471,-0.0694,-0.0208,-0.1875,-0.0833,-0.1667,-0.0625,0.1042
2000,1,0.8004,0.0764,0.6667,1.0000,-2.9583,1.3333,0.3750,0.0417
2000,2,0.7779,0.5694,0.1250,0.9792,-1.9792,3.8542,0.3958,0.0417
2000,3,0.8324,0.2569,0.1667,1.0208,-3.4375,3.3542,0.3958,0.0417
2000,4,0.8787,0.3576,0.2083,1.0417,-3.3958,1.8333,1.8958,0.5625
2000,5,0.7980,-0.1424,-0.2708,0.5625,-3.3958,1.3333,0.8750,0.0417
8000,1,0.7981,-1.6979,0.2083,-0.2500,-0.0417,-4.9375,-0.2500,-4.9167
8000,2,0.9023,1.5590,4.8958,-0.3750,4.9167,-4.8958,-0.1042,4.9167
8000,3,0.8713,-1.9410,0.3958,-2.2500,-0.0833,-4.8958,-4.9792,0.1667
8000,4,0.8693,2.0764,0.0417,-1.8750,4.9167,-0.5417,5.0000,4.9167
8000,5,0.8064,0.5660,-0.0625,-1.6042,0.0625,-4.9167,5.0000,4.9167

OVERALL SUMMARY STATISTICS

300 Hz AVERAGE,,,,-3.7917,-3.8667,-3.0417,3.2500,3.4125,3.4917
300 Hz STD_DEV,,,,0.0228,0.0167,1.3438,0.0132,0.0083,0.0102

1000 Hz AVERAGE,,,,-0.0208,-0.3917,0.1375,-0.3667,-0.0458,0.3250
1000 Hz STD_DEV,,,,0.0132,0.4083,0.4105,0.4000,0.0243,0.4209

2000 Hz AVERAGE,,,,0.1792,0.9208,-3.0333,2.3417,0.7875,0.1458
2000 Hz STD_DEV,,,,0.2980,0.1804,0.5555,1.0587,0.5853,0.2083

8000 Hz AVERAGE,,,,1.0958,-1.2708,1.9542,-4.0375,0.9333,2.0000
8000 Hz STD_DEV,,,,1.9063,0.8099,2.4193,1.7480,3.7553,3.9172
